date,pred,calculated_at
2020-05-06,4717.665,2024-08-22 18:51:20.627566
2020-05-07,3845.7656,2024-08-23 02:22:53.280803
2020-05-08,2090.9712,2024-08-23 02:22:53.280803
2020-05-09,1845.2021,2024-08-23 02:22:53.280803
2020-05-10,716.1836,2024-08-23 02:22:53.280803
2020-05-11,4271.61,2024-08-23 02:22:53.280803
2020-05-12,3636.3809,2024-08-23 02:22:53.280803
2020-05-13,3378.6265,2024-08-23 02:22:53.280803
2020-05-14,4178.403,2024-08-22 04:56:36.830994
2020-05-15,3995.8994,2024-08-22 04:56:36.830994
2020-05-16,1802.1118,2024-08-22 04:56:36.830994
2020-05-17,763.7554,2024-08-22 04:56:36.830994
2020-05-18,4505.803,2024-08-22 04:56:36.830994
2020-05-19,3298.5642,2024-08-22 04:56:36.830994
2020-05-20,3381.8088,2024-08-22 04:56:36.830994
2020-05-21,5523.3486,2024-08-22 06:57:29.563539
2020-05-22,6047.6777,2024-08-22 06:57:29.563539
2020-05-23,1633.4568,2024-08-22 06:57:29.563539
2020-05-24,579.9863,2024-08-22 06:57:29.563539
2020-05-25,4338.382,2024-08-22 06:57:29.563539
2020-05-26,3327.11,2024-08-22 06:57:29.563539
2020-05-27,3477.646,2024-08-22 06:57:29.563539
2020-05-28,4172.5996,2024-08-22 20:36:18.727010
2020-05-29,3618.9487,2024-08-22 20:36:18.727010
2020-05-30,2246.7664,2024-08-22 20:36:18.727010
2020-05-31,-20.104248,2024-08-22 20:36:18.727010
2020-06-01,3064.2651,2024-08-22 20:36:18.727010
2020-06-02,3572.21,2024-08-22 20:36:18.727010
2020-06-03,3563.143,2024-08-22 20:36:18.727010
2020-06-04,4166.4663,2024-08-22 18:52:18.478444
2020-06-05,3398.4807,2024-08-22 18:52:18.478444
2020-06-06,1655.1896,2024-08-22 18:52:18.478444
2020-06-07,692.4165,2024-08-22 18:52:18.478444
2020-06-08,3874.9968,2024-08-22 18:52:18.478444
2020-06-09,3298.747,2024-08-22 18:52:18.478444
2020-06-10,2755.5786,2024-08-22 18:52:18.478444
2020-06-11,4842.7314,2024-08-22 11:12:21.048056
2020-06-12,3813.8926,2024-08-22 11:12:21.048056
2020-06-13,1655.2665,2024-08-22 11:12:21.048056
2020-06-14,227.094,2024-08-22 11:12:21.048056
2020-06-15,4485.4185,2024-08-22 11:12:21.048056
2020-06-16,4513.034,2024-08-22 11:12:21.048056
2020-06-17,4596.795,2024-08-22 11:12:21.048056
2020-06-18,4148.0957,2024-08-22 08:52:22.185730
2020-06-19,3719.6702,2024-08-22 08:52:22.185730
2020-06-20,2251.907,2024-08-22 08:52:22.185730
2020-06-21,136.40039,2024-08-22 08:52:22.185730
2020-06-22,2695.7427,2024-08-22 08:52:22.185730
2020-06-23,3728.12,2024-08-22 08:52:22.185730
2020-06-24,3670.316,2024-08-22 08:52:22.185730
2020-06-25,4313.3936,2024-08-22 05:07:59.559083
2020-06-26,2676.13,2024-08-22 05:07:59.559083
2020-06-27,1369.1115,2024-08-22 05:07:59.559083
2020-06-28,93.406006,2024-08-22 05:07:59.559083
2020-06-29,4410.6396,2024-08-22 05:07:59.559083
2020-06-30,4055.4448,2024-08-22 05:07:59.559083
2020-07-01,3414.6562,2024-08-22 05:07:59.559083
2020-07-02,3610.2644,2024-08-21 23:46:10.427581
2020-07-03,3098.4336,2024-08-21 23:46:10.427581
2020-07-04,1144.8396,2024-08-21 23:46:10.427581
2020-07-05,340.1609,2024-08-21 23:46:10.427581
2020-07-06,4150.6567,2024-08-21 23:46:10.427581
2020-07-07,3816.5435,2024-08-21 23:46:10.427581
2020-07-08,3833.7046,2024-08-21 23:46:10.427581
2020-07-09,4436.013,2024-08-22 03:55:24.792985
2020-07-10,3435.9358,2024-08-22 03:55:24.792985
2020-07-11,1574.7333,2024-08-22 03:55:24.792985
2020-07-12,323.6582,2024-08-22 03:55:24.792985
2020-07-13,4045.7627,2024-08-22 03:55:24.792985
2020-07-14,3722.4968,2024-08-22 03:55:24.792985
2020-07-15,3771.0374,2024-08-22 03:55:24.792985
2020-07-16,3695.8877,2024-08-23 03:05:30.860870
2020-07-17,1946.0369,2024-08-23 03:05:30.860870
2020-07-18,1655.8192,2024-08-23 03:05:30.860870
2020-07-19,1046.6094,2024-08-23 03:05:30.860870
2020-07-20,4558.2295,2024-08-23 03:05:30.860870
2020-07-21,5039.675,2024-08-23 03:05:30.860870
2020-07-22,4673.106,2024-08-23 03:05:30.860870
2020-07-23,4063.684,2024-08-22 00:05:54.745375
2020-07-24,3715.9548,2024-08-22 00:05:54.745375
2020-07-25,2071.6035,2024-08-22 00:05:54.745375
2020-07-26,698.16113,2024-08-22 00:05:54.745375
2020-07-27,4382.5234,2024-08-22 00:05:54.745375
2020-07-28,4341.0967,2024-08-22 00:05:54.745375
2020-07-29,4019.5063,2024-08-22 00:05:54.745375
2020-07-30,3905.2236,2024-08-21 23:55:35.759359
2020-07-31,3025.4204,2024-08-21 23:55:35.759359
2020-08-01,2099.446,2024-08-21 23:55:35.759359
2020-08-02,2307.0913,2024-08-21 23:55:35.759359
2020-08-03,5607.6763,2024-08-21 23:55:35.759359
