date,weekday,holiday_name,tipo_feriado,demanda_feriado,demanda_promedio_otros_dias,variacion
2022-12-08,4,Immaculate Conception,2,2586,5505.5,53.02878939242576
2022-12-09,5,Tourist Bridge Holiday,1,1742,5376.25,67.59823296907696
2022-12-20,2,World Cup Win Public Holiday,2,4748,5455.666666666667,12.971222582024811
2022-12-25,7,Christmas Day,1,708,839.0,15.613825983313468
2022-12-31,6,New Year's Eve,1,1573,2619.0,39.938907980145096
2023-01-01,7,New Year's Day,1,552,687.25,19.679883594034195
2023-02-20,1,Carnival / Shrove Monday,2,1492,4943.333333333333,69.81793661496965
2023-02-21,2,Carnival / Shrove Tuesday / Pancake Day,2,1932,5493.0,64.82796286182413
2023-03-23,4,Ramadan Start,2,3943,4928.75,20.0
2023-03-24,5,Memorial Day,1,1794,4943.25,63.70808678500987
2023-04-02,7,Day of the Veterans,1,791,662.5,-19.39622641509434
2023-04-05,3,Passover Eve,2,3849,4495.333333333333,14.377873350140883
2023-04-06,4,Maundy Thursday,2,3345,4371.333333333333,23.47872502668903
2023-04-06,4,First day of Passover,2,3345,4371.333333333333,23.47872502668903
2023-04-07,5,Good Friday,2,1340,3867.0,65.34781484354797
2023-04-07,5,Second Day of Passover,2,1340,3867.0,65.34781484354797
2023-04-09,7,Easter Sunday,2,586,713.75,17.8984238178634
2023-04-11,2,Sixth Day of Passover,2,4335,4263.666666666667,-1.6730513642404743
2023-04-12,3,Seventh Day of Passover,2,4303,4344.0,0.9438305709023941
2023-04-13,4,Last day of Passover,2,4191,3903.25,-7.372061743418946
2023-04-21,5,End of Ramadan,2,3939,2585.5,-52.34964223554438
2023-04-24,1,Action Day for Tolerance and Respect between People,2,3914,4135.666666666667,5.359877488514555
2023-05-01,1,Labor Day / May Day,2,639,4580.5,86.04955790852526
2023-05-25,4,National Day/May 1810 Revolution,2,1499,4238.666666666667,64.63510537905002
2023-05-26,5,Tourist Bridge Holiday,1,1371,4006.6666666666665,65.7820299500832
2023-06-17,6,Commemoration of General Don Martín Miguel de Güemes,1,1487,1858.6666666666667,19.996413199426115
2023-06-19,1,Tourist Bridge Holiday,1,1496,4429.0,66.22262361706932
2023-06-20,2,Flag Day,1,1705,4359.666666666667,60.8915054667788
2023-06-28,3,Eid al-Adha,2,3921,4360.333333333333,10.075682287286899
2023-07-09,7,Independence day,1,793,731.0,-8.481532147742818
2023-07-19,3,Muharram/New Year,2,3817,4326.666666666667,11.779661016949158
2023-08-21,1,San Martín Day,2,1463,3923.3333333333335,62.71028037383177
2023-09-15,5,Rosh Hashana Eve,2,3047,3263.0,6.61967514557156
2023-09-16,6,Rosh Hashana,2,1120,1266.0,11.532385466034755
2023-09-17,7,Second Day of Rosh Hashana,2,550,714.6666666666666,23.0410447761194
2023-09-24,7,Yom Kippur Eve,2,731,654.3333333333334,-11.716760061130916
2023-09-25,1,Yom Kippur,2,3478,3591.0,3.1467557783347253
2023-10-13,5,Tourist Bridge Holiday,1,1730,3222.6666666666665,46.31774927596194
2023-10-15,7,Mothers' Day,2,708,729.0,2.880658436213992
2023-10-16,1,Day of Respect for Cultural Diversity,2,1540,3588.5,57.085133063954295
2023-11-20,1,National Sovereignty Day,1,1086,3770.0,71.19363395225464
2023-12-08,5,Immaculate Conception,2,1821,2905.75,37.331153746881185
2023-12-25,1,Christmas Day,1,260,3941.6666666666665,93.40380549682875
2023-12-31,7,New Year's Eve,1,265,768.25,65.50602017572405
2024-01-01,1,New Year's Day,1,187,3373.0,94.45597391046546
2024-02-12,1,Carnival / Shrove Monday,2,1078,3493.6666666666665,69.14416563305028
2024-02-13,2,Carnival / Shrove Tuesday / Pancake Day,2,1159,3517.3333333333335,67.0489006823351
2024-03-11,1,Ramadan Start,2,3412,3819.6666666666665,10.672833580591671
2024-03-24,7,Memorial Day,1,439,578.75,24.146868250539956
2024-03-28,4,Maundy Thursday,2,2676,3718.6666666666665,28.0387235568304
2024-03-29,5,Good Friday,2,1102,3813.5,71.10266159695817
2024-03-31,7,Easter Sunday,2,347,601.75,42.334856668051515
2024-04-01,1,Tourist Bridge Holiday,1,1286,4199.5,69.37730682224074
2024-04-02,2,Day of the Veterans,1,1380,4071.75,66.10793884693314
2024-04-10,3,End of Ramadan,2,3283,3470.5,5.402679729145656
2024-04-22,1,Passover Eve,2,3668,3604.0,-1.7758046614872365
2024-04-23,2,First day of Passover,2,3898,3442.25,-13.239886702011766
2024-04-24,3,Action Day for Tolerance and Respect between People,2,3520,3375.0,-4.296296296296296
2024-04-24,3,Second Day of Passover,2,3520,3375.0,-4.296296296296296
2024-04-28,7,Sixth Day of Passover,2,463,451.3333333333333,-2.584933530280654
2024-04-29,1,Seventh Day of Passover,2,3567,3629.25,1.715230419508163
2024-04-30,2,Last day of Passover,2,3761,3476.5,-8.183517905939883
2024-05-01,3,Labor Day / May Day,2,628,4677.75,86.5747421302977
2024-05-25,6,National Day/May 1810 Revolution,2,1109,1873.0,40.790176187933795
2024-06-17,1,Eid al-Adha,2,1350,6427.333333333333,78.99595477647546
2024-06-17,1,Commemoration of General Don Martín Miguel de Güemes,1,1350,6427.333333333333,78.99595477647546
2024-06-20,4,Flag Day,1,2071,4826.666666666667,57.092541436464096
2024-06-21,5,Tourist Bridge Holiday,1,1727,5810.333333333333,70.27709253628592
2024-07-08,1,Muharram/New Year,2,5497,4857.0,-13.176858142886555
2024-07-09,2,Independence day,1,1846,5476.5,66.29233999817401
